Date_Time,Temp Compost,Temp Suncho,Estado
07/06/2021_18:54:11,58.25,67.81,Apagado
07/06/2021_18:54:12,58.25,67.81,Apagado
07/06/2021_18:54:14,58.31,67.81,Apagado
07/06/2021_18:54:15,58.25,67.81,Apagado
07/06/2021_18:54:17,58.25,67.81,Apagado
07/06/2021_18:54:19,58.31,67.75,Apagado
07/06/2021_18:54:20,58.31,67.75,Apagado
07/06/2021_18:54:22,58.31,67.75,Apagado
07/06/2021_18:54:23,58.25,67.87,Apagado
07/06/2021_18:54:25,58.31,67.94,Apagado
07/06/2021_18:54:27,58.25,68.06,Apagado
07/06/2021_18:54:28,58.25,68.19,Apagado
07/06/2021_18:54:30,58.31,68.37,Apagado
07/06/2021_18:54:32,58.31,68.50,Apagado
07/06/2021_18:54:33,58.31,68.69,Apagado
07/06/2021_18:54:35,58.31,68.81,Apagado
07/06/2021_18:54:36,58.31,69.06,Apagado
07/06/2021_18:54:38,58.25,69.19,Apagado
07/06/2021_18:54:40,58.31,69.37,Apagado
07/06/2021_18:54:41,58.31,69.50,Apagado
07/06/2021_18:54:43,58.31,69.56,Apagado
07/06/2021_18:54:44,58.31,69.62,Apagado
07/06/2021_18:54:46,58.31,69.62,Apagado
07/06/2021_18:54:48,58.31,69.62,Apagado
07/06/2021_18:54:49,58.25,69.69,Apagado
07/06/2021_18:54:51,58.31,69.69,Apagado
07/06/2021_18:54:53,58.31,69.69,Apagado
07/06/2021_18:54:54,58.31,69.75,Apagado
07/06/2021_18:54:56,58.31,69.75,Apagado
07/06/2021_18:54:57,58.31,69.75,Apagado
07/06/2021_18:54:59,58.31,69.69,Apagado
07/06/2021_18:55:01,58.31,69.69,Apagado
07/06/2021_18:55:02,58.31,69.69,Apagado
07/06/2021_18:55:04,58.31,69.62,Apagado
07/06/2021_18:55:05,58.31,69.56,Apagado
07/06/2021_18:55:07,58.31,69.50,Apagado
