Date_Time,Temp_Compost,Temp_Suncho,Estado
08/07/2021_09:34:44,43.19,51.31,Prendido
08/07/2021_09:34:45,43.19,51.38,Prendido
08/07/2021_09:34:47,43.19,51.38,Prendido
08/07/2021_09:34:48,43.19,51.44,Prendido
08/07/2021_09:34:50,43.19,51.38,Prendido
08/07/2021_09:34:52,43.19,51.44,Prendido
08/07/2021_09:34:53,43.19,51.44,Prendido
08/07/2021_09:34:55,43.19,51.44,Prendido
08/07/2021_09:34:57,43.25,51.44,Prendido
08/07/2021_09:34:58,43.25,51.44,Prendido
08/07/2021_09:35:00,43.25,51.44,Prendido
08/07/2021_09:35:01,43.19,51.44,Prendido
08/07/2021_09:35:03,43.25,51.44,Prendido
08/07/2021_09:35:05,43.19,51.44,Prendido
08/07/2021_09:35:06,43.19,51.44,Prendido
08/07/2021_09:35:08,43.19,51.38,Prendido
08/07/2021_09:35:09,43.19,51.44,Prendido
08/07/2021_09:35:11,43.25,51.44,Prendido
08/07/2021_09:35:13,43.19,51.44,Prendido
08/07/2021_09:35:14,43.19,51.50,Prendido
08/07/2021_09:35:16,43.19,51.56,Prendido
08/07/2021_09:35:17,43.25,51.56,Prendido
08/07/2021_09:35:19,43.19,51.56,Prendido
08/07/2021_09:35:21,43.19,51.56,Prendido
08/07/2021_09:35:22,43.19,51.56,Prendido
08/07/2021_09:35:24,43.19,51.56,Prendido
08/07/2021_09:35:25,43.19,51.56,Prendido
08/07/2021_09:35:27,43.25,51.56,Prendido
08/07/2021_09:35:29,43.25,51.56,Prendido
08/07/2021_09:35:30,43.19,51.50,Prendido
08/07/2021_09:35:32,43.25,51.50,Prendido
08/07/2021_09:35:34,43.19,51.50,Prendido
08/07/2021_09:35:35,43.19,51.50,Prendido
08/07/2021_09:35:37,43.25,51.50,Prendido
08/07/2021_09:35:38,43.25,51.44,Prendido
08/07/2021_09:35:40,43.25,51.44,Prendido
08/07/2021_09:35:42,43.25,51.44,Prendido
08/07/2021_09:35:43,43.25,51.38,Prendido
08/07/2021_09:35:45,43.25,51.38,Prendido
08/07/2021_09:35:46,43.25,51.38,Prendido
08/07/2021_09:35:48,43.25,51.38,Prendido
08/07/2021_09:35:50,43.25,51.38,Prendido
08/07/2021_09:35:51,43.19,51.38,Prendido
08/07/2021_09:35:53,43.25,51.44,Prendido
08/07/2021_09:35:54,43.25,51.38,Prendido
08/07/2021_09:35:56,43.25,51.38,Prendido
08/07/2021_09:35:58,43.25,51.38,Prendido
08/07/2021_09:35:59,43.25,51.38,Prendido
08/07/2021_09:36:01,43.25,51.44,Prendido
08/07/2021_09:36:02,43.25,51.44,Prendido
08/07/2021_09:36:04,43.25,51.44,Prendido
08/07/2021_09:36:06,43.25,51.44,Prendido
08/07/2021_09:36:07,43.25,51.50,Prendido
08/07/2021_09:36:09,43.25,51.44,Prendido
08/07/2021_09:36:10,43.25,51.44,Prendido
08/07/2021_09:36:12,43.25,51.44,Prendido
08/07/2021_09:36:14,43.25,51.50,Prendido
08/07/2021_09:36:15,43.25,51.44,Prendido
08/07/2021_09:36:17,43.25,51.44,Prendido
08/07/2021_09:36:19,43.25,51.44,Prendido
08/07/2021_09:36:20,43.19,51.50,Prendido
08/07/2021_09:36:22,43.25,51.50,Prendido
08/07/2021_09:36:23,43.25,51.50,Prendido
08/07/2021_09:36:25,43.19,51.50,Prendido
08/07/2021_09:36:27,43.25,51.44,Prendido
08/07/2021_09:36:28,43.25,51.44,Prendido
08/07/2021_09:36:30,43.25,51.44,Prendido
08/07/2021_09:36:31,43.19,51.38,Prendido
08/07/2021_09:36:33,43.19,51.44,Prendido
08/07/2021_09:36:35,43.19,51.44,Prendido
08/07/2021_09:36:36,43.19,51.44,Prendido
08/07/2021_09:36:38,43.25,51.44,Prendido
08/07/2021_09:36:39,43.25,51.44,Prendido
08/07/2021_09:36:41,43.25,51.50,Prendido
08/07/2021_09:36:43,43.25,51.50,Prendido
08/07/2021_09:36:44,43.19,51.50,Prendido
08/07/2021_09:36:46,43.25,51.50,Prendido
08/07/2021_09:36:47,43.25,51.50,Prendido
08/07/2021_09:36:49,43.19,51.50,Prendido
08/07/2021_09:36:51,43.25,51.50,Prendido
08/07/2021_09:36:52,43.25,51.44,Prendido
08/07/2021_09:36:54,43.19,51.50,Prendido
08/07/2021_09:36:56,43.25,51.50,Prendido
08/07/2021_09:36:57,43.25,51.50,Prendido
08/07/2021_09:36:59,43.19,51.44,Prendido
08/07/2021_09:37:00,43.19,51.44,Prendido
08/07/2021_09:37:02,43.19,51.44,Prendido
08/07/2021_09:37:04,43.25,51.44,Prendido
08/07/2021_09:37:05,43.19,51.44,Prendido
08/07/2021_09:37:07,43.25,51.44,Prendido
08/07/2021_09:37:08,43.25,51.44,Prendido
08/07/2021_09:37:10,43.19,51.44,Prendido
08/07/2021_09:37:12,43.19,51.44,Prendido
08/07/2021_09:37:13,43.19,51.44,Prendido
08/07/2021_09:37:15,43.25,51.44,Prendido
08/07/2021_09:37:16,43.19,51.44,Prendido
08/07/2021_09:37:18,43.19,51.44,Prendido
08/07/2021_09:37:20,43.25,51.44,Prendido
08/07/2021_09:37:21,43.25,51.44,Prendido
08/07/2021_09:37:23,43.25,51.50,Prendido
