Date_Time, CO2
22/09/2021_10:34:29,464
22/09/2021_10:34:31,464
22/09/2021_10:34:33,464
22/09/2021_10:34:35,464
22/09/2021_10:34:37,466
22/09/2021_10:34:39,466
22/09/2021_10:34:41,465
22/09/2021_10:34:43,465
22/09/2021_10:34:45,465
22/09/2021_10:34:47,467
22/09/2021_10:34:49,467
22/09/2021_10:34:51,467
22/09/2021_10:34:53,467
22/09/2021_10:34:55,468
22/09/2021_10:34:57,468
22/09/2021_10:34:59,468
22/09/2021_10:35:01,468
22/09/2021_10:35:03,468
22/09/2021_10:35:05,468
22/09/2021_10:35:07,468
22/09/2021_10:35:09,468
22/09/2021_10:35:11,467
22/09/2021_10:35:13,467
22/09/2021_10:35:15,466
22/09/2021_10:35:17,466
22/09/2021_10:35:19,466
22/09/2021_10:35:21,465
22/09/2021_10:35:23,465
22/09/2021_10:35:25,464
22/09/2021_10:35:27,464
22/09/2021_10:35:30,464
22/09/2021_10:35:32,464
22/09/2021_10:35:34,464
22/09/2021_10:35:36,463
22/09/2021_10:35:38,463
22/09/2021_10:35:40,463
22/09/2021_10:35:42,463
22/09/2021_10:35:44,463
22/09/2021_10:35:46,464
22/09/2021_10:35:48,464
22/09/2021_10:35:50,464
22/09/2021_10:35:52,463
22/09/2021_10:35:54,463
22/09/2021_10:35:56,463
22/09/2021_10:35:58,463
22/09/2021_10:36:00,463
22/09/2021_10:36:02,462
22/09/2021_10:36:04,462
22/09/2021_10:36:06,462
22/09/2021_10:36:08,462
22/09/2021_10:36:10,461
22/09/2021_10:36:12,461
22/09/2021_10:36:14,461
22/09/2021_10:36:16,463
22/09/2021_10:36:18,463
22/09/2021_10:36:20,465
22/09/2021_10:36:22,465
22/09/2021_10:36:24,465
22/09/2021_10:36:26,464
22/09/2021_10:36:28,464
22/09/2021_10:36:30,464
22/09/2021_10:36:32,464
22/09/2021_10:36:34,464
22/09/2021_10:36:36,465
22/09/2021_10:36:38,465
22/09/2021_10:36:40,464
22/09/2021_10:36:42,464
22/09/2021_10:36:44,464
22/09/2021_10:36:46,465
22/09/2021_10:36:48,465
22/09/2021_10:36:50,467
22/09/2021_10:36:52,467
22/09/2021_10:36:54,467
22/09/2021_10:36:56,468
22/09/2021_10:36:58,468
22/09/2021_10:37:01,469
22/09/2021_10:37:03,469
22/09/2021_10:37:05,469
22/09/2021_10:37:07,469
22/09/2021_10:37:09,469
22/09/2021_10:37:11,468
22/09/2021_10:37:13,468
22/09/2021_10:37:15,468
22/09/2021_10:37:17,468
22/09/2021_10:37:19,468
22/09/2021_10:37:21,466
22/09/2021_10:37:23,466
22/09/2021_10:37:25,466
22/09/2021_10:37:27,466
22/09/2021_10:37:29,466
22/09/2021_10:37:31,466
22/09/2021_10:37:33,466
22/09/2021_10:37:35,467
22/09/2021_10:37:37,467
22/09/2021_10:37:39,467
22/09/2021_10:37:41,467
22/09/2021_10:37:43,467
22/09/2021_10:37:45,468
22/09/2021_10:37:47,468
22/09/2021_10:37:49,468
