Date_Time,CO2
14/10/2021_00:12:23,0
14/10/2021_00:12:28,0
14/10/2021_00:12:33,0
14/10/2021_00:12:38,0
14/10/2021_00:12:43,0
14/10/2021_00:12:48,0
14/10/2021_00:12:53,0
14/10/2021_00:12:58,0
14/10/2021_00:13:03,0
14/10/2021_00:13:08,0
14/10/2021_00:13:13,0
14/10/2021_00:13:18,0
14/10/2021_00:13:23,0
14/10/2021_00:13:28,0
14/10/2021_00:13:33,0
14/10/2021_00:13:38,0
14/10/2021_00:13:43,0
14/10/2021_00:13:48,0
14/10/2021_00:13:53,0
14/10/2021_00:13:58,0
14/10/2021_00:14:03,0
14/10/2021_00:14:08,0
14/10/2021_00:14:13,0
14/10/2021_00:14:18,0
14/10/2021_00:14:23,0
14/10/2021_00:14:28,0
14/10/2021_00:14:33,0
14/10/2021_00:14:38,0
14/10/2021_00:14:43,0
14/10/2021_00:14:48,0
14/10/2021_00:14:53,0
14/10/2021_00:14:58,0
14/10/2021_00:15:04,0
14/10/2021_00:15:09,0
14/10/2021_00:15:14,0
14/10/2021_00:15:19,0
14/10/2021_00:15:24,0
14/10/2021_00:15:29,0
14/10/2021_00:15:34,0
14/10/2021_00:15:39,0
14/10/2021_00:15:44,0
14/10/2021_00:15:49,0
14/10/2021_00:15:54,0
14/10/2021_00:15:59,0
14/10/2021_00:16:04,0
14/10/2021_00:16:09,0
14/10/2021_00:16:14,0
14/10/2021_00:16:19,0
14/10/2021_00:16:24,0
14/10/2021_00:16:29,0
14/10/2021_00:16:34,0
14/10/2021_00:16:39,0
14/10/2021_00:16:44,0
14/10/2021_00:16:49,0
14/10/2021_00:16:54,0
14/10/2021_00:16:59,0
14/10/2021_00:17:04,0
14/10/2021_00:17:09,0
14/10/2021_00:17:14,0
14/10/2021_00:17:19,0
14/10/2021_00:17:24,0
14/10/2021_00:17:29,0
14/10/2021_00:17:34,0
14/10/2021_00:17:39,0
14/10/2021_00:17:44,0
14/10/2021_00:17:49,0
14/10/2021_00:17:54,0
14/10/2021_00:17:59,0
14/10/2021_00:18:04,0
14/10/2021_00:18:09,0
14/10/2021_00:18:14,0
14/10/2021_00:18:19,0
14/10/2021_00:18:24,0
14/10/2021_00:18:29,0
14/10/2021_00:18:34,0
14/10/2021_00:18:39,0
14/10/2021_00:18:44,0
14/10/2021_00:18:49,0
14/10/2021_00:18:55,0
14/10/2021_00:19:00,0
14/10/2021_00:19:05,0
14/10/2021_00:19:10,0
14/10/2021_00:19:15,0
14/10/2021_00:19:20,0
14/10/2021_00:19:25,0
14/10/2021_00:19:30,0
14/10/2021_00:19:35,0
14/10/2021_00:19:40,0
14/10/2021_00:19:45,0
14/10/2021_00:19:50,0
14/10/2021_00:19:55,0
14/10/2021_00:20:00,0
14/10/2021_00:20:05,0
14/10/2021_00:20:10,0
14/10/2021_00:20:15,0
14/10/2021_00:20:20,0
14/10/2021_00:20:25,0
14/10/2021_00:20:30,0
14/10/2021_00:20:35,0
14/10/2021_00:20:40,0
