Date_Time,Temp_Compost,Temp_Suncho,Estado
14/06/2021_23:04:31,50.56,54.75,Prendido
14/06/2021_23:04:33,50.56,54.75,Prendido
14/06/2021_23:04:34,50.56,54.81,Prendido
14/06/2021_23:04:36,50.56,54.88,Prendido
14/06/2021_23:04:38,50.56,54.88,Prendido
14/06/2021_23:04:39,50.56,54.94,Prendido
14/06/2021_23:04:41,50.56,54.94,Prendido
14/06/2021_23:04:42,50.56,54.94,Prendido
14/06/2021_23:04:44,50.56,54.94,Prendido
14/06/2021_23:04:46,50.56,55.06,Apagado
14/06/2021_23:04:47,50.75,55.19,Apagado
14/06/2021_23:04:49,50.75,55.19,Apagado
14/06/2021_23:04:50,50.75,55.25,Apagado
14/06/2021_23:04:52,50.75,55.19,Apagado
14/06/2021_23:04:54,50.75,55.19,Apagado
14/06/2021_23:04:55,50.75,55.13,Apagado
14/06/2021_23:04:57,50.75,55.13,Apagado
14/06/2021_23:04:59,50.75,55.06,Apagado
14/06/2021_23:05:00,50.75,55.00,Prendido
14/06/2021_23:05:02,50.56,54.75,Prendido
14/06/2021_23:05:03,50.56,54.69,Prendido
14/06/2021_23:05:05,50.56,54.63,Prendido
14/06/2021_23:05:07,50.56,54.56,Prendido
14/06/2021_23:05:08,50.56,54.56,Prendido
14/06/2021_23:05:10,50.56,54.56,Prendido
14/06/2021_23:05:11,50.56,54.50,Prendido
14/06/2021_23:05:13,50.56,54.50,Prendido
14/06/2021_23:05:15,50.63,54.50,Prendido
14/06/2021_23:05:16,50.56,54.50,Prendido
14/06/2021_23:05:18,50.56,54.44,Prendido
14/06/2021_23:05:19,50.63,54.50,Prendido
14/06/2021_23:05:21,50.63,54.44,Prendido
14/06/2021_23:05:23,50.63,54.44,Prendido
14/06/2021_23:05:24,50.56,54.44,Prendido
14/06/2021_23:05:26,50.56,54.50,Prendido
14/06/2021_23:05:27,50.63,54.56,Prendido
14/06/2021_23:05:29,50.56,54.56,Prendido
14/06/2021_23:05:31,50.56,54.63,Prendido
14/06/2021_23:05:32,50.63,54.63,Prendido
14/06/2021_23:05:34,50.63,54.63,Prendido
14/06/2021_23:05:36,50.56,54.69,Prendido
14/06/2021_23:05:37,50.63,54.69,Prendido
14/06/2021_23:05:39,50.63,54.75,Prendido
14/06/2021_23:05:40,50.63,54.81,Prendido
14/06/2021_23:05:42,50.63,54.88,Prendido
14/06/2021_23:05:44,50.63,54.88,Prendido
14/06/2021_23:05:45,50.63,54.94,Prendido
14/06/2021_23:05:47,50.63,54.94,Prendido
14/06/2021_23:05:48,50.63,55.00,Prendido
14/06/2021_23:05:50,50.56,55.00,Prendido
14/06/2021_23:05:52,50.56,55.06,Apagado
14/06/2021_23:05:53,50.75,55.25,Apagado
14/06/2021_23:05:55,50.75,55.25,Apagado
14/06/2021_23:05:56,50.75,55.25,Apagado
14/06/2021_23:05:58,50.75,55.31,Apagado
14/06/2021_23:06:00,50.75,55.25,Apagado
14/06/2021_23:06:01,50.75,55.25,Apagado
14/06/2021_23:06:03,50.75,55.25,Apagado
14/06/2021_23:06:04,50.75,55.13,Apagado
14/06/2021_23:06:06,50.75,55.06,Apagado
14/06/2021_23:06:08,50.75,54.94,Prendido
14/06/2021_23:06:09,50.63,54.75,Prendido
14/06/2021_23:06:11,50.63,54.69,Prendido
14/06/2021_23:06:13,50.63,54.63,Prendido
14/06/2021_23:06:14,50.63,54.63,Prendido
14/06/2021_23:06:16,50.56,54.56,Prendido
14/06/2021_23:06:17,50.63,54.56,Prendido
14/06/2021_23:06:19,50.56,54.50,Prendido
14/06/2021_23:06:21,50.63,54.56,Prendido
14/06/2021_23:06:22,50.63,54.56,Prendido
14/06/2021_23:06:24,50.63,54.63,Prendido
14/06/2021_23:06:25,50.63,54.63,Prendido
14/06/2021_23:06:27,50.63,54.69,Prendido
14/06/2021_23:06:29,50.63,54.75,Prendido
14/06/2021_23:06:30,50.63,54.81,Prendido
14/06/2021_23:06:32,50.56,54.81,Prendido
14/06/2021_23:06:33,50.63,54.81,Prendido
14/06/2021_23:06:35,50.63,54.88,Prendido
14/06/2021_23:06:37,50.63,54.94,Prendido
14/06/2021_23:06:38,50.63,54.94,Prendido
14/06/2021_23:06:40,50.56,54.94,Prendido
14/06/2021_23:06:41,50.56,55.00,Prendido
14/06/2021_23:06:43,50.63,55.06,Apagado
14/06/2021_23:06:45,50.75,55.25,Apagado
14/06/2021_23:06:46,50.75,55.25,Apagado
14/06/2021_23:06:48,50.75,55.25,Apagado
14/06/2021_23:06:50,50.75,55.25,Apagado
14/06/2021_23:06:51,50.75,55.25,Apagado
14/06/2021_23:06:53,50.75,55.19,Apagado
14/06/2021_23:06:54,50.75,55.19,Apagado
14/06/2021_23:06:56,50.75,55.13,Apagado
14/06/2021_23:06:58,50.75,55.06,Apagado
14/06/2021_23:06:59,50.75,55.00,Prendido
14/06/2021_23:07:01,50.63,54.75,Prendido
14/06/2021_23:07:02,50.63,54.63,Prendido
14/06/2021_23:07:04,50.63,54.63,Prendido
14/06/2021_23:07:06,50.56,54.56,Prendido
14/06/2021_23:07:07,50.63,54.50,Prendido
14/06/2021_23:07:09,50.63,54.50,Prendido
14/06/2021_23:07:10,50.63,54.50,Prendido
