Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
20/10/2021_14:13:01,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,54.81,35.25,Prendido
20/10/2021_14:13:07,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,54.88,35.25,Prendido
20/10/2021_14:13:13,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,55.00,35.25,Prendido
20/10/2021_14:13:19,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.63,56.69,55.31,35.25,Apagado
20/10/2021_14:13:24,318,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,55.31,35.31,Apagado
20/10/2021_14:13:30,317,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,55.19,35.25,Apagado
20/10/2021_14:13:36,317,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.63,56.63,54.94,35.25,Prendido
20/10/2021_14:13:42,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.81,35.25,Prendido
20/10/2021_14:13:48,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,54.88,35.25,Prendido
20/10/2021_14:13:54,315,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,55.00,35.25,Prendido
20/10/2021_14:14:00,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,55.19,35.25,Apagado
20/10/2021_14:14:06,315,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,55.19,35.25,Apagado
20/10/2021_14:14:11,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.56,55.13,35.25,Apagado
20/10/2021_14:14:17,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,54.88,35.31,Prendido
20/10/2021_14:14:23,316,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.69,54.69,35.25,Prendido
20/10/2021_14:14:29,317,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.75,35.25,Prendido
20/10/2021_14:14:35,318,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,54.75,35.25,Prendido
20/10/2021_14:14:41,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.88,35.25,Prendido
20/10/2021_14:14:47,323,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,54.75,35.25,Prendido
20/10/2021_14:14:52,323,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.88,35.25,Prendido
20/10/2021_14:14:58,322,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.63,54.88,35.25,Prendido
20/10/2021_14:15:04,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,55.06,35.25,Apagado
20/10/2021_14:15:10,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.69,56.56,55.06,35.25,Apagado
20/10/2021_14:15:16,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.56,55.00,35.25,Prendido
20/10/2021_14:15:22,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.88,35.25,Prendido
20/10/2021_14:15:28,320,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.94,35.25,Prendido
20/10/2021_14:15:33,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,55.06,35.25,Apagado
20/10/2021_14:15:39,324,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.19,33.75,56.63,55.13,35.25,Apagado
20/10/2021_14:15:45,326,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,55.00,35.25,Prendido
20/10/2021_14:15:51,326,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,54.94,35.25,Prendido
20/10/2021_14:15:57,327,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,54.94,35.25,Prendido
20/10/2021_14:16:03,327,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.94,35.25,Prendido
20/10/2021_14:16:09,326,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,55.06,35.25,Apagado
20/10/2021_14:16:15,324,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,55.19,35.31,Apagado
20/10/2021_14:16:20,323,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,55.06,35.25,Apagado
20/10/2021_14:16:26,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,54.88,35.25,Prendido
20/10/2021_14:16:32,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.63,35.31,Prendido
20/10/2021_14:16:38,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,54.56,35.25,Prendido
20/10/2021_14:16:44,321,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.69,56.63,54.63,35.25,Prendido
20/10/2021_14:16:50,322,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.13,33.75,56.63,54.81,35.25,Prendido
