Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
21/11/2021_22:13:00,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.50,42.13,Prendido
21/11/2021_22:13:06,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,59.50,42.13,Prendido
21/11/2021_22:13:12,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.63,42.06,Prendido
21/11/2021_22:13:18,648,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.75,42.13,Prendido
21/11/2021_22:13:24,647,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.88,42.13,Prendido
21/11/2021_22:13:30,648,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,60.00,42.13,Prendido
21/11/2021_22:13:35,648,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,60.13,42.13,Apagado
21/11/2021_22:13:41,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.38,41.13,43.50,60.25,42.13,Apagado
21/11/2021_22:13:47,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.19,42.13,Apagado
21/11/2021_22:13:53,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.06,42.13,Apagado
21/11/2021_22:13:59,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.38,41.13,43.50,59.81,42.13,Prendido
21/11/2021_22:14:05,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.50,59.63,42.13,Prendido
21/11/2021_22:14:11,650,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.50,59.56,42.13,Prendido
21/11/2021_22:14:16,650,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.56,42.13,Prendido
21/11/2021_22:14:22,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.69,42.13,Prendido
21/11/2021_22:14:28,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.25,41.06,43.56,59.88,42.13,Prendido
21/11/2021_22:14:34,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.94,42.06,Prendido
21/11/2021_22:14:40,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,60.19,42.13,Apagado
21/11/2021_22:14:46,649,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.19,42.19,Apagado
21/11/2021_22:14:52,650,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.25,42.13,Apagado
21/11/2021_22:14:58,650,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.06,42.13,Apagado
21/11/2021_22:15:03,650,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,59.94,42.13,Prendido
21/11/2021_22:15:09,651,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.69,42.06,Prendido
21/11/2021_22:15:15,652,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.25,41.06,43.56,59.75,42.13,Prendido
21/11/2021_22:15:21,652,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.69,42.13,Prendido
21/11/2021_22:15:27,652,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.88,42.13,Prendido
21/11/2021_22:15:33,652,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.25,41.06,43.56,59.94,42.13,Prendido
21/11/2021_22:15:39,653,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.25,41.13,43.56,60.13,42.13,Apagado
21/11/2021_22:15:44,654,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.50,60.19,42.13,Apagado
21/11/2021_22:15:50,653,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.56,60.25,42.13,Apagado
21/11/2021_22:15:56,653,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.13,43.50,60.06,42.13,Apagado
21/11/2021_22:16:02,654,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,60.00,42.13,Prendido
21/11/2021_22:16:08,654,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.81,42.13,Prendido
21/11/2021_22:16:14,654,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.56,59.81,42.06,Prendido
21/11/2021_22:16:20,654,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,47.31,41.06,43.50,59.88,42.06,Prendido
