Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
05/12/2021_04:00:20,523,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.81,59.75,44.31,Prendido
05/12/2021_04:00:26,524,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.75,59.75,44.31,Prendido
05/12/2021_04:00:32,525,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.75,59.69,44.31,Prendido
05/12/2021_04:00:38,524,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.81,59.75,44.31,Prendido
05/12/2021_04:00:44,523,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.81,59.88,44.31,Prendido
05/12/2021_04:00:50,525,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.81,59.88,44.31,Prendido
05/12/2021_04:00:55,525,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.75,59.94,44.31,Prendido
05/12/2021_04:01:01,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.69,48.81,60.13,44.31,Apagado
05/12/2021_04:01:07,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.75,60.25,44.31,Apagado
05/12/2021_04:01:13,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.81,60.19,44.38,Apagado
05/12/2021_04:01:19,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.75,60.00,44.31,Prendido
05/12/2021_04:01:25,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.69,48.75,59.81,44.25,Prendido
05/12/2021_04:01:31,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.75,59.69,44.25,Prendido
05/12/2021_04:01:37,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.75,59.63,44.25,Prendido
05/12/2021_04:01:42,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.81,59.63,44.31,Prendido
05/12/2021_04:01:48,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.56,46.75,48.81,59.69,44.31,Prendido
05/12/2021_04:01:54,526,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,52.63,46.75,48.81,59.81,44.25,Prendido
