Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
04/12/2021_10:05:47,553,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.00,60.38,41.63,Apagado
04/12/2021_10:05:53,552,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.06,60.13,41.63,Apagado
04/12/2021_10:05:59,552,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.06,59.94,41.63,Prendido
04/12/2021_10:06:05,553,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.44,52.00,59.75,41.56,Prendido
04/12/2021_10:06:11,553,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.06,59.63,41.56,Prendido
04/12/2021_10:06:17,553,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.00,59.69,41.56,Prendido
04/12/2021_10:06:23,554,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.06,59.75,41.56,Prendido
04/12/2021_10:06:29,554,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.06,59.94,41.56,Prendido
04/12/2021_10:06:34,554,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.06,60.06,41.56,Apagado
04/12/2021_10:06:40,552,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,60.13,41.63,Apagado
04/12/2021_10:06:46,552,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.00,60.00,41.56,Prendido
04/12/2021_10:06:52,552,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:06:58,551,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.06,59.94,41.56,Prendido
04/12/2021_10:07:04,551,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:07:10,551,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.00,60.06,41.56,Apagado
04/12/2021_10:07:15,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,60.13,41.56,Apagado
04/12/2021_10:07:21,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.00,41.56,Prendido
04/12/2021_10:07:27,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.88,41.56,Prendido
04/12/2021_10:07:33,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.06,59.81,41.56,Prendido
04/12/2021_10:07:39,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.94,41.56,Prendido
04/12/2021_10:07:45,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:07:51,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,60.13,41.50,Apagado
04/12/2021_10:07:56,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,60.25,41.63,Apagado
04/12/2021_10:08:02,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.06,41.56,Apagado
04/12/2021_10:08:08,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:08:14,547,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.75,41.56,Prendido
04/12/2021_10:08:20,547,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.75,41.50,Prendido
04/12/2021_10:08:26,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.81,41.56,Prendido
04/12/2021_10:08:32,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,59.81,41.50,Prendido
04/12/2021_10:08:38,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:08:43,547,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.13,41.56,Apagado
04/12/2021_10:08:49,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.19,41.56,Apagado
04/12/2021_10:08:55,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,60.06,41.63,Apagado
04/12/2021_10:09:01,549,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,52.00,59.94,41.56,Prendido
04/12/2021_10:09:07,549,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,51.94,59.75,41.56,Prendido
04/12/2021_10:09:13,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.75,41.56,Prendido
04/12/2021_10:09:19,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.75,41.56,Prendido
04/12/2021_10:09:24,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.81,41.56,Prendido
04/12/2021_10:09:30,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,52.00,59.94,41.56,Prendido
04/12/2021_10:09:36,548,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.13,41.50,Apagado
04/12/2021_10:09:42,547,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.06,41.56,Apagado
04/12/2021_10:09:48,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,60.13,41.56,Apagado
04/12/2021_10:09:54,545,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.63,52.00,60.00,41.63,Prendido
04/12/2021_10:10:00,545,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.81,42.56,51.94,59.81,41.56,Prendido
04/12/2021_10:10:05,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.75,41.56,Prendido
04/12/2021_10:10:11,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.50,51.94,59.75,41.50,Prendido
04/12/2021_10:10:17,547,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.75,42.56,52.00,59.88,41.56,Prendido
