Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
04/12/2021_12:42:10,476,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.63,40.88,Prendido
04/12/2021_12:42:16,478,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.63,40.81,Prendido
04/12/2021_12:42:22,478,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.25,50.88,59.75,40.81,Prendido
04/12/2021_12:42:28,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.81,40.88,Prendido
04/12/2021_12:42:34,480,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.94,40.81,Prendido
04/12/2021_12:42:39,480,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,60.06,40.81,Apagado
04/12/2021_12:42:45,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.19,44.31,50.88,60.19,40.88,Apagado
04/12/2021_12:42:51,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.19,40.81,Apagado
04/12/2021_12:42:57,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,60.00,40.81,Prendido
04/12/2021_12:43:03,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:43:09,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:43:15,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.69,40.81,Prendido
04/12/2021_12:43:21,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:43:26,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:43:32,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.94,40.75,Prendido
04/12/2021_12:43:38,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,60.13,40.81,Apagado
04/12/2021_12:43:44,478,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.19,44.38,50.88,60.25,40.81,Apagado
04/12/2021_12:43:50,478,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.25,40.81,Apagado
04/12/2021_12:43:56,476,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.06,40.88,Apagado
04/12/2021_12:44:02,476,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.44,50.88,59.94,40.88,Prendido
04/12/2021_12:44:07,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.81,40.81,Prendido
04/12/2021_12:44:13,479,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:44:19,480,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,59.75,40.81,Prendido
04/12/2021_12:44:25,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.69,40.81,Prendido
04/12/2021_12:44:31,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.81,40.81,Prendido
04/12/2021_12:44:37,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.31,50.88,60.00,40.81,Prendido
04/12/2021_12:44:43,483,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,60.00,40.81,Prendido
04/12/2021_12:44:49,483,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.31,50.88,60.19,40.81,Apagado
04/12/2021_12:44:54,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.31,40.88,Apagado
04/12/2021_12:45:00,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.81,60.25,40.81,Apagado
04/12/2021_12:45:06,480,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,60.19,40.81,Apagado
04/12/2021_12:45:12,480,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.00,40.81,Prendido
04/12/2021_12:45:18,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.75,40.81,Prendido
04/12/2021_12:45:24,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.81,59.63,40.81,Prendido
04/12/2021_12:45:30,481,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.69,40.81,Prendido
04/12/2021_12:45:35,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.81,40.81,Prendido
04/12/2021_12:45:41,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.88,40.81,Prendido
04/12/2021_12:45:47,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,60.00,40.81,Prendido
04/12/2021_12:45:53,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.06,40.81,Apagado
04/12/2021_12:45:59,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.25,40.81,Apagado
04/12/2021_12:46:05,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,60.19,40.81,Apagado
04/12/2021_12:46:11,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.81,60.06,40.81,Apagado
04/12/2021_12:46:16,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.44,50.88,59.81,40.81,Prendido
04/12/2021_12:46:22,482,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.63,40.75,Prendido
04/12/2021_12:46:28,485,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.63,40.81,Prendido
04/12/2021_12:46:34,486,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.56,40.75,Prendido
04/12/2021_12:46:40,490,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.88,59.63,40.81,Prendido
04/12/2021_12:46:46,492,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.81,59.75,40.75,Prendido
04/12/2021_12:46:52,496,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.38,50.88,59.88,40.81,Prendido
04/12/2021_12:46:58,495,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.06,44.38,50.81,60.00,40.75,Prendido
04/12/2021_12:47:03,496,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,45.13,44.44,50.81,60.13,40.81,Apagado
