Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
05/12/2021_09:26:55,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.44,46.94,60.06,43.19,Apagado
05/12/2021_09:27:01,!Error: Timed out waiting for response
05/12/2021_09:27:01,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,60.13,43.19,Apagado
05/12/2021_09:27:07,!Error: Timed out waiting for response
05/12/2021_09:27:08,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,60.06,43.19,Apagado
05/12/2021_09:27:13,!Error: Timed out waiting for response
05/12/2021_09:27:14,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,59.81,43.13,Prendido
05/12/2021_09:27:20,!Error: Timed out waiting for response
05/12/2021_09:27:21,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.38,43.50,46.94,59.69,43.19,Prendido
05/12/2021_09:27:26,!Error: Timed out waiting for response
05/12/2021_09:27:27,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.44,46.94,59.63,43.13,Prendido
05/12/2021_09:27:33,!Error: Timed out waiting for response
05/12/2021_09:27:33,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,59.63,43.13,Prendido
05/12/2021_09:27:39,!Error: Timed out waiting for response
05/12/2021_09:27:40,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,59.63,43.13,Prendido
05/12/2021_09:27:45,!Error: Timed out waiting for response
05/12/2021_09:27:46,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.44,46.94,59.75,43.13,Prendido
05/12/2021_09:27:52,!Error: Timed out waiting for response
05/12/2021_09:27:53,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.44,46.94,59.81,43.19,Prendido
05/12/2021_09:27:58,!Error: Timed out waiting for response
05/12/2021_09:27:59,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.50,46.94,60.00,43.13,Prendido
05/12/2021_09:28:05,!Error: Timed out waiting for response
05/12/2021_09:28:05,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.31,43.44,46.94,60.06,43.13,Apagado
05/12/2021_09:28:11,!Error: Timed out waiting for response
