Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
05/12/2021_08:28:12,500,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.81,43.88,47.25,60.13,43.38,Apagado
05/12/2021_08:28:18,500,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.94,47.25,59.88,43.38,Prendido
05/12/2021_08:28:24,502,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.25,59.69,43.38,Prendido
05/12/2021_08:28:30,502,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.63,43.38,Prendido
05/12/2021_08:28:36,504,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.75,43.31,Prendido
05/12/2021_08:28:42,505,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.25,59.69,43.31,Prendido
05/12/2021_08:28:48,506,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.94,47.31,59.63,43.31,Prendido
05/12/2021_08:28:53,507,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.75,43.31,Prendido
05/12/2021_08:28:59,507,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.81,43.31,Prendido
05/12/2021_08:29:05,509,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.25,60.06,43.38,Apagado
05/12/2021_08:29:11,508,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.81,43.88,47.31,60.00,43.38,Prendido
05/12/2021_08:29:17,509,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.00,43.38,Prendido
05/12/2021_08:29:23,509,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.00,43.38,Prendido
05/12/2021_08:29:29,510,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.06,43.31,Apagado
05/12/2021_08:29:35,512,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.94,47.31,60.06,43.44,Apagado
05/12/2021_08:29:40,512,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.25,59.94,43.38,Prendido
05/12/2021_08:29:46,511,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.69,43.88,47.31,59.81,43.38,Prendido
05/12/2021_08:29:52,512,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.75,43.31,Prendido
05/12/2021_08:29:58,512,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.88,43.31,Prendido
05/12/2021_08:30:04,513,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.88,43.38,Prendido
05/12/2021_08:30:10,514,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.88,43.38,Prendido
05/12/2021_08:30:16,515,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.00,43.38,Prendido
05/12/2021_08:30:21,515,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.94,47.31,60.13,43.31,Apagado
05/12/2021_08:30:27,516,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.19,43.38,Apagado
05/12/2021_08:30:33,518,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,60.13,43.38,Apagado
05/12/2021_08:30:39,!Error: Timed out waiting for response
05/12/2021_08:30:40,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.94,47.25,60.00,43.38,Prendido
05/12/2021_08:30:45,!Error: Timed out waiting for response
05/12/2021_08:30:46,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.75,43.31,Prendido
05/12/2021_08:30:52,!Error: Timed out waiting for response
05/12/2021_08:30:52,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.75,43.31,Prendido
05/12/2021_08:30:58,525,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.81,47.31,59.81,43.31,Prendido
05/12/2021_08:31:04,525,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.75,43.88,47.31,59.81,43.31,Prendido
