Date_Time,CO2,Estado_Valvula_1,Estado_Valvula_2,Estado_Valvula_3,Estado_Valvula_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
23/03/2022_01:50:48,834,Apagado,Apagado,Apagado,Prendido,58.50,64.37,68.19,59.81,65.56,Prendido
23/03/2022_01:50:54,833,Apagado,Apagado,Apagado,Prendido,58.50,64.37,68.19,59.81,65.56,Prendido
23/03/2022_01:51:00,831,Apagado,Apagado,Apagado,Prendido,58.50,64.37,68.19,59.81,65.62,Prendido
23/03/2022_01:51:06,832,Apagado,Apagado,Apagado,Prendido,58.50,64.37,68.19,59.88,65.56,Prendido
23/03/2022_01:51:12,830,Apagado,Apagado,Apagado,Prendido,58.50,64.37,68.12,59.88,65.62,Prendido
23/03/2022_01:51:18,830,Apagado,Apagado,Apagado,Prendido,58.44,64.31,68.19,59.94,65.56,Prendido
23/03/2022_01:51:24,829,Apagado,Apagado,Apagado,Prendido,58.44,64.31,68.19,59.94,65.56,Prendido
23/03/2022_01:51:29,828,Apagado,Apagado,Apagado,Prendido,58.44,64.31,68.19,60.00,65.56,Prendido
23/03/2022_01:51:35,828,Apagado,Apagado,Apagado,Prendido,58.44,64.25,68.12,60.00,65.62,Prendido
23/03/2022_01:51:41,828,Apagado,Apagado,Apagado,Prendido,58.38,64.25,68.19,60.06,65.62,Apagado
23/03/2022_01:51:47,829,Apagado,Apagado,Apagado,Prendido,58.31,64.25,68.06,60.13,65.56,Apagado
23/03/2022_01:51:53,829,Apagado,Apagado,Apagado,Prendido,58.31,64.25,68.06,60.13,65.56,Apagado
23/03/2022_01:51:59,829,Apagado,Apagado,Apagado,Prendido,58.31,64.19,68.06,60.06,65.56,Apagado
23/03/2022_01:52:05,828,Apagado,Apagado,Apagado,Prendido,58.25,64.19,68.12,60.00,65.56,Prendido
23/03/2022_01:52:10,829,Apagado,Apagado,Apagado,Prendido,58.31,64.19,68.19,59.94,65.56,Prendido
23/03/2022_01:52:16,830,Apagado,Apagado,Apagado,Prendido,58.31,64.19,68.12,59.81,65.56,Prendido
23/03/2022_01:52:22,830,Apagado,Apagado,Apagado,Prendido,58.25,64.19,68.12,59.88,65.56,Prendido
23/03/2022_01:52:28,830,Apagado,Apagado,Apagado,Prendido,58.31,64.19,68.12,59.88,65.62,Prendido
23/03/2022_01:52:34,828,Apagado,Apagado,Apagado,Prendido,58.25,64.12,68.12,59.81,65.56,Prendido
23/03/2022_01:52:40,828,Apagado,Apagado,Apagado,Prendido,58.25,64.12,68.12,59.88,65.62,Prendido
23/03/2022_01:52:46,828,Apagado,Apagado,Apagado,Prendido,58.25,64.12,68.12,59.81,65.56,Prendido
23/03/2022_01:52:52,826,Apagado,Apagado,Apagado,Prendido,58.19,64.06,68.12,59.88,65.56,Prendido
23/03/2022_01:52:57,826,Apagado,Apagado,Apagado,Prendido,58.19,64.06,68.12,60.06,65.56,Apagado
23/03/2022_01:53:03,824,Apagado,Apagado,Apagado,Prendido,58.13,64.06,68.06,60.06,65.56,Apagado
23/03/2022_01:53:09,823,Apagado,Apagado,Apagado,Prendido,58.06,64.06,68.00,60.13,65.56,Apagado
23/03/2022_01:53:15,822,Apagado,Apagado,Apagado,Prendido,58.13,64.00,68.00,60.00,65.56,Prendido
23/03/2022_01:53:21,821,Apagado,Apagado,Apagado,Prendido,58.13,64.06,68.06,60.00,65.62,Prendido
23/03/2022_01:53:27,819,Apagado,Apagado,Apagado,Prendido,58.13,64.00,68.12,59.94,65.56,Prendido
23/03/2022_01:53:33,819,Apagado,Apagado,Apagado,Prendido,58.13,64.00,68.12,59.88,65.62,Prendido
23/03/2022_01:53:38,819,Apagado,Apagado,Apagado,Prendido,58.06,64.00,68.06,59.94,65.62,Prendido
23/03/2022_01:53:44,818,Apagado,Apagado,Apagado,Prendido,58.06,64.00,68.06,59.88,65.62,Prendido
23/03/2022_01:53:50,817,Apagado,Apagado,Apagado,Prendido,58.06,64.00,68.06,59.94,65.62,Prendido
23/03/2022_01:53:56,816,Apagado,Apagado,Apagado,Prendido,58.06,64.00,68.06,60.00,65.62,Prendido
23/03/2022_01:54:02,816,Apagado,Apagado,Apagado,Prendido,58.00,63.94,68.06,60.06,65.62,Apagado
23/03/2022_01:54:08,816,Apagado,Apagado,Apagado,Prendido,57.94,63.94,68.00,60.13,65.62,Apagado
23/03/2022_01:54:14,814,Apagado,Apagado,Apagado,Prendido,57.94,63.94,68.00,60.06,65.56,Apagado
23/03/2022_01:54:20,814,Apagado,Apagado,Apagado,Prendido,57.94,63.88,68.00,60.00,65.62,Prendido
