Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
26/03/2022_03:42:03,968,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.19,44.06,Prendido
26/03/2022_03:42:08,968,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.25,44.06,Prendido
26/03/2022_03:42:14,967,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.44,51.19,44.13,Prendido
26/03/2022_03:42:20,968,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.31,44.06,Prendido
26/03/2022_03:42:26,969,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.19,44.06,Prendido
26/03/2022_03:42:32,969,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.31,44.06,Prendido
26/03/2022_03:42:38,970,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.38,51.19,44.06,Prendido
26/03/2022_03:42:44,969,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.69,42.38,51.25,44.06,Prendido
26/03/2022_03:42:50,969,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.25,44.06,Prendido
26/03/2022_03:42:55,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.31,44.06,Prendido
26/03/2022_03:43:01,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.44,51.31,44.06,Prendido
26/03/2022_03:43:07,965,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.69,42.38,51.19,44.00,Prendido
26/03/2022_03:43:13,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.38,51.31,44.06,Prendido
26/03/2022_03:43:19,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.44,51.38,44.06,Prendido
26/03/2022_03:43:25,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.31,44.00,Prendido
26/03/2022_03:43:31,968,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.31,44.06,Prendido
26/03/2022_03:43:36,968,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.31,44.00,Prendido
26/03/2022_03:43:42,965,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.38,51.38,44.06,Prendido
26/03/2022_03:43:48,965,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.06,Prendido
26/03/2022_03:43:54,967,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:00,967,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.06,53.63,42.38,51.38,44.06,Prendido
26/03/2022_03:44:06,965,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.38,44.00,Prendido
26/03/2022_03:44:12,966,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.56,42.38,51.25,44.00,Prendido
26/03/2022_03:44:18,964,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:23,961,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:29,959,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:35,957,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.19,44.00,Prendido
26/03/2022_03:44:41,956,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:47,951,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:44:53,950,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.56,42.38,51.31,44.00,Prendido
26/03/2022_03:44:59,948,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.25,44.00,Prendido
26/03/2022_03:45:04,946,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.13,44.00,Prendido
26/03/2022_03:45:10,947,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.31,51.25,44.00,Prendido
26/03/2022_03:45:16,943,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.31,44.00,Prendido
26/03/2022_03:45:22,939,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.31,51.31,44.00,Prendido
26/03/2022_03:45:28,942,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.31,51.31,44.00,Prendido
26/03/2022_03:45:34,937,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.44,44.00,Prendido
26/03/2022_03:45:40,935,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.44,44.00,Prendido
26/03/2022_03:45:46,935,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.38,44.00,Prendido
26/03/2022_03:45:51,932,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.13,53.63,42.38,51.56,44.00,Prendido
26/03/2022_03:45:57,925,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.63,44.00,Prendido
26/03/2022_03:46:03,922,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.31,51.56,44.00,Prendido
26/03/2022_03:46:09,916,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.50,44.00,Prendido
26/03/2022_03:46:15,910,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.56,44.00,Prendido
26/03/2022_03:46:21,911,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.31,51.63,44.00,Prendido
26/03/2022_03:46:27,909,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.56,43.94,Prendido
26/03/2022_03:46:32,908,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.63,44.00,Prendido
26/03/2022_03:46:38,905,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.31,51.63,44.00,Prendido
26/03/2022_03:46:44,904,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.56,44.00,Prendido
26/03/2022_03:46:50,904,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.63,42.38,51.44,44.00,Prendido
26/03/2022_03:46:56,904,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.44,44.00,Prendido
26/03/2022_03:47:02,904,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.63,42.31,51.44,44.00,Prendido
26/03/2022_03:47:08,905,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.38,51.31,44.00,Prendido
26/03/2022_03:47:14,905,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.38,44.00,Prendido
26/03/2022_03:47:19,904,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:47:25,902,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.31,51.31,44.00,Prendido
26/03/2022_03:47:31,902,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:47:37,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.19,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:47:43,897,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:47:49,897,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:47:55,898,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.44,44.00,Prendido
26/03/2022_03:48:00,898,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.31,44.00,Prendido
26/03/2022_03:48:06,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:48:12,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.44,44.00,Prendido
26/03/2022_03:48:18,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.44,44.00,Prendido
26/03/2022_03:48:24,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.50,43.94,Prendido
26/03/2022_03:48:30,899,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.50,44.00,Prendido
26/03/2022_03:48:36,896,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,44.00,Prendido
26/03/2022_03:48:42,893,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.44,44.00,Prendido
26/03/2022_03:48:47,893,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:48:53,892,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:48:59,892,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.31,44.00,Prendido
26/03/2022_03:49:05,891,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:49:11,890,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.38,51.31,43.94,Prendido
26/03/2022_03:49:17,890,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.31,43.94,Prendido
26/03/2022_03:49:23,890,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.50,42.31,51.31,43.94,Prendido
26/03/2022_03:49:28,888,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.50,42.31,51.31,44.00,Prendido
26/03/2022_03:49:34,887,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.31,43.94,Prendido
26/03/2022_03:49:40,886,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.31,43.94,Prendido
26/03/2022_03:49:46,885,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.25,53.56,42.31,51.31,43.88,Prendido
26/03/2022_03:49:52,884,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:49:58,884,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:50:04,883,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:50:10,882,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:50:15,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:50:21,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.31,43.94,Prendido
26/03/2022_03:50:27,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.38,43.94,Prendido
26/03/2022_03:50:33,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.25,51.31,43.88,Prendido
26/03/2022_03:50:39,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.94,Prendido
26/03/2022_03:50:45,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.38,43.88,Prendido
26/03/2022_03:50:51,880,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.38,43.94,Prendido
26/03/2022_03:50:56,880,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.50,43.94,Prendido
26/03/2022_03:51:02,880,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.50,43.88,Prendido
26/03/2022_03:51:08,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.56,43.94,Prendido
26/03/2022_03:51:14,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.50,43.88,Prendido
26/03/2022_03:51:20,880,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.56,42.31,51.44,43.94,Prendido
26/03/2022_03:51:26,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.44,43.88,Prendido
26/03/2022_03:51:32,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.44,43.94,Prendido
26/03/2022_03:51:38,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.38,43.88,Prendido
26/03/2022_03:51:43,881,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,60.31,53.50,42.31,51.38,43.88,Prendido
