Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
26/03/2022_16:58:07,746,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.31,59.63,39.31,Prendido
26/03/2022_16:58:13,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.31,57.81,51.38,59.63,39.31,Prendido
26/03/2022_16:58:19,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.63,39.31,Prendido
26/03/2022_16:58:25,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.75,51.31,59.69,39.38,Prendido
26/03/2022_16:58:30,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.69,39.38,Prendido
26/03/2022_16:58:36,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.69,39.38,Prendido
26/03/2022_16:58:42,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.63,39.31,Prendido
26/03/2022_16:58:48,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.31,57.81,51.38,59.63,39.31,Prendido
26/03/2022_16:58:54,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.63,39.38,Prendido
26/03/2022_16:59:00,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.44,59.63,39.31,Prendido
26/03/2022_16:59:06,745,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,66.37,57.81,51.38,59.56,39.38,Prendido
