Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
02/04/2022_07:17:22,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,59.88,57.38,Prendido
02/04/2022_07:17:28,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.44,59.88,57.38,Prendido
02/04/2022_07:17:34,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,49.94,58.25,75.50,59.94,57.31,Prendido
02/04/2022_07:17:40,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.44,60.00,57.38,Prendido
02/04/2022_07:17:46,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,60.00,57.31,Prendido
02/04/2022_07:17:52,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,49.94,58.31,75.50,60.00,57.38,Prendido
02/04/2022_07:17:58,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.25,75.50,59.94,57.38,Prendido
02/04/2022_07:18:03,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,59.94,57.38,Prendido
02/04/2022_07:18:09,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,60.00,57.38,Prendido
02/04/2022_07:18:15,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,60.06,57.38,Apagado
02/04/2022_07:18:21,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,60.13,57.38,Apagado
02/04/2022_07:18:27,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.38,75.44,60.25,57.44,Apagado
02/04/2022_07:18:33,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.38,75.50,60.19,57.38,Apagado
02/04/2022_07:18:39,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.38,75.50,60.19,57.38,Apagado
02/04/2022_07:18:45,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,60.06,57.44,Apagado
02/04/2022_07:18:50,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,59.88,57.44,Prendido
02/04/2022_07:18:56,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.44,59.81,57.38,Prendido
02/04/2022_07:19:02,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.38,75.50,59.63,57.38,Prendido
02/04/2022_07:19:08,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,59.56,57.38,Prendido
02/04/2022_07:19:14,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.31,75.50,59.38,57.38,Prendido
02/04/2022_07:19:20,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.06,58.38,75.50,59.44,57.38,Prendido
02/04/2022_07:19:26,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,50.00,58.38,75.50,59.31,57.44,Prendido
