# nro,promedio1,promedio2,promedio3,promedio4
1.000000000000000000e+00, 4.038016194331983684e+02, 4.010688259109311957e+02, 4.602024291497975810e+02, 5.276437246963562302e+02
2.000000000000000000e+00, 4.829068825910931082e+02, 5.571417004048582839e+02, 4.948380566801619693e+02, 4.996275303643724897e+02
3.000000000000000000e+00, 4.612631578947368212e+02, 6.776801619433198312e+02, 7.796275303643724328e+02, 1.509603238866396850e+03
4.000000000000000000e+00, 4.822064777327935303e+02, 5.371457489878542901e+02, 6.088259109311741213e+02, 8.298299595141700138e+02
5.000000000000000000e+00, 4.055465587044534459e+02, 4.028866396761133615e+02, 4.428299595141700138e+02, 5.513846153846153584e+02
6.000000000000000000e+00, 4.034898785425100982e+02, 4.378340080971660200e+02, 5.115991902834007874e+02, 5.434696356275303515e+02
7.000000000000000000e+00, 4.795668016194331926e+02, 7.149352226720648105e+02, 9.774291497975708580e+02, 1.298295546558704473e+03
8.000000000000000000e+00, 4.157449392712550775e+02, 5.228380566801619125e+02, 5.981214574898785941e+02, 7.206275303643724328e+02
9.000000000000000000e+00, 4.623036437246963715e+02, 5.141538461538461888e+02, 6.295546558704453446e+02, 6.842226720647773845e+02
1.000000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.100000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.200000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.300000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.400000000000000000e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00
1.500000000000000000e+01, -2.857142857142857054e-02, 4.038548387096774377e+02, 8.392177419354839003e+02, 8.269516129032258505e+02
1.600000000000000000e+01, 1.153173387096774150e+03, 4.011854838709677438e+02, 5.076169354838709751e+02, 5.328427419354839003e+02
1.700000000000000000e+01, 6.950645161290323131e+02, 3.594072580645161565e+02, 4.161733870967742064e+02, 4.723306451612903061e+02
1.800000000000000000e+01, 5.398145161290323131e+02, 5.040000000000000000e+02, 6.007338709677419502e+02, 6.375685483870968255e+02
1.900000000000000000e+01, 5.745000000000000000e+02, 3.688225806451612812e+02, 3.945120967741935374e+02, 4.078024193548387188e+02
2.000000000000000000e+01, 4.033991935483870748e+02, 3.514395161290322562e+02, 3.949072580645161565e+02, 4.019153225806451815e+02
