Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
31/03/2022_04:50:35,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.00,50.38,47.25,52.44,40.44,Prendido
31/03/2022_04:50:41,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,55.94,50.38,47.25,52.50,40.38,Prendido
31/03/2022_04:50:46,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.00,50.31,47.25,52.44,40.44,Prendido
31/03/2022_04:50:52,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.38,47.25,52.38,40.44,Prendido
31/03/2022_04:50:58,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.00,50.31,47.25,52.50,40.38,Prendido
31/03/2022_04:51:04,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.38,47.25,52.50,40.44,Prendido
31/03/2022_04:51:10,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.00,50.31,47.25,52.44,40.44,Prendido
31/03/2022_04:51:16,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.38,Prendido
31/03/2022_04:51:22,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.38,47.25,52.50,40.38,Prendido
31/03/2022_04:51:27,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.38,40.38,Prendido
31/03/2022_04:51:33,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.44,Prendido
31/03/2022_04:51:39,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.44,Prendido
31/03/2022_04:51:45,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.38,Prendido
31/03/2022_04:51:51,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.38,Prendido
31/03/2022_04:51:57,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.31,47.25,52.44,40.44,Prendido
31/03/2022_04:52:03,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.44,40.38,Prendido
31/03/2022_04:52:09,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.50,40.44,Prendido
31/03/2022_04:52:14,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.38,40.38,Prendido
31/03/2022_04:52:20,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.31,47.25,52.38,40.44,Prendido
31/03/2022_04:52:26,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.38,40.38,Prendido
31/03/2022_04:52:32,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.25,47.25,52.38,40.38,Prendido
31/03/2022_04:52:38,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.06,50.31,47.25,52.44,40.38,Prendido
31/03/2022_04:52:44,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.31,47.25,52.44,40.44,Prendido
31/03/2022_04:52:50,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.31,47.25,52.44,40.38,Prendido
31/03/2022_04:52:55,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.31,47.25,52.38,40.38,Prendido
31/03/2022_04:53:01,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.25,47.25,52.44,40.38,Prendido
31/03/2022_04:53:07,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.25,47.25,52.44,40.38,Prendido
31/03/2022_04:53:13,0,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,56.13,50.25,47.25,52.44,40.38,Prendido
