Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
04/11/2021_13:21:50,416,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.00,33.44,37.25,51.94,41.25,Prendido
04/11/2021_13:21:56,419,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,52.06,41.25,Apagado
04/11/2021_13:22:02,420,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.50,37.25,52.13,41.25,Apagado
04/11/2021_13:22:07,423,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.19,41.31,Apagado
04/11/2021_13:22:13,423,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.00,33.50,37.25,52.06,41.25,Apagado
04/11/2021_13:22:19,422,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,51.94,41.31,Prendido
04/11/2021_13:22:25,423,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.00,33.38,37.25,51.75,41.25,Prendido
04/11/2021_13:22:31,422,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,51.75,41.25,Prendido
04/11/2021_13:22:37,420,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,51.88,41.25,Prendido
04/11/2021_13:22:43,418,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.06,41.25,Apagado
04/11/2021_13:22:49,417,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.19,52.19,41.31,Apagado
04/11/2021_13:22:54,415,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.06,41.25,Apagado
04/11/2021_13:23:00,412,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.06,41.25,Apagado
04/11/2021_13:23:06,411,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,51.88,41.25,Prendido
04/11/2021_13:23:12,412,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,51.81,41.25,Prendido
04/11/2021_13:23:18,412,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,51.75,41.25,Prendido
04/11/2021_13:23:24,413,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,51.81,41.31,Prendido
04/11/2021_13:23:30,414,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.00,41.25,Prendido
04/11/2021_13:23:35,415,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.13,41.25,Apagado
04/11/2021_13:23:41,416,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,52.25,41.25,Apagado
04/11/2021_13:23:47,416,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.19,41.25,Apagado
04/11/2021_13:23:53,417,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.19,41.25,Apagado
04/11/2021_13:23:59,417,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.00,41.25,Prendido
04/11/2021_13:24:05,418,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.00,33.38,37.25,51.88,41.25,Prendido
04/11/2021_13:24:11,418,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,51.94,41.25,Prendido
04/11/2021_13:24:16,417,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.19,52.06,41.25,Apagado
04/11/2021_13:24:22,419,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.06,41.25,Apagado
04/11/2021_13:24:28,419,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.00,41.31,Prendido
04/11/2021_13:24:34,421,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,51.94,41.25,Prendido
04/11/2021_13:24:40,422,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.25,51.94,41.25,Prendido
04/11/2021_13:24:46,424,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.19,52.13,41.25,Apagado
04/11/2021_13:24:52,424,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.38,37.19,52.25,41.25,Apagado
04/11/2021_13:24:57,425,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.19,52.25,41.25,Apagado
04/11/2021_13:25:03,425,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.00,33.38,37.19,52.13,41.31,Apagado
04/11/2021_13:25:09,426,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.94,33.44,37.25,52.00,41.25,Prendido
