Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
24/03/2022_18:20:58,1159,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.56,54.81,50.25,52.75,40.69,Prendido
24/03/2022_18:21:04,1158,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.56,54.81,50.19,52.69,40.69,Prendido
24/03/2022_18:21:09,1157,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.19,52.75,40.69,Prendido
24/03/2022_18:21:15,1156,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.56,54.81,50.19,52.63,40.69,Prendido
24/03/2022_18:21:21,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.19,52.75,40.69,Prendido
24/03/2022_18:21:27,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.19,52.63,40.69,Prendido
24/03/2022_18:21:33,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.13,52.56,40.69,Prendido
24/03/2022_18:21:39,1153,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.13,52.44,40.69,Prendido
24/03/2022_18:21:45,1153,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.13,52.50,40.69,Prendido
24/03/2022_18:21:51,1153,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.13,52.50,40.69,Prendido
24/03/2022_18:21:56,1154,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.13,52.44,40.69,Prendido
24/03/2022_18:22:02,1154,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.69,54.88,50.13,52.63,40.69,Prendido
24/03/2022_18:22:08,1154,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.81,50.06,52.50,40.69,Prendido
24/03/2022_18:22:14,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.06,52.63,40.69,Prendido
24/03/2022_18:22:20,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.69,54.88,50.06,52.56,40.69,Prendido
24/03/2022_18:22:26,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.69,54.88,50.06,52.56,40.63,Prendido
24/03/2022_18:22:32,1152,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.06,52.56,40.69,Prendido
24/03/2022_18:22:37,1149,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.69,54.88,50.06,52.56,40.63,Prendido
24/03/2022_18:22:43,1148,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.06,52.50,40.63,Prendido
24/03/2022_18:22:49,1147,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.06,52.44,40.63,Prendido
24/03/2022_18:22:55,1146,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.62,54.88,50.00,52.44,40.69,Prendido
24/03/2022_18:23:01,1142,Apagado,Prendido,Apagado,Prendido,Prendido,Apagado,Apagado,Prendido,66.69,54.88,50.06,52.44,40.63,Prendido
