Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
26/10/2021_05:33:59,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,51.81,35.06,Prendido
26/10/2021_05:34:04,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.81,35.06,Prendido
26/10/2021_05:34:10,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,51.88,35.06,Prendido
26/10/2021_05:34:16,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,51.94,35.13,Prendido
26/10/2021_05:34:22,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,52.00,35.06,Prendido
26/10/2021_05:34:28,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.06,35.13,Apagado
26/10/2021_05:34:34,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.06,35.13,Apagado
26/10/2021_05:34:40,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.06,35.13,Apagado
26/10/2021_05:34:46,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.13,35.13,Apagado
26/10/2021_05:34:51,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.00,35.13,Prendido
26/10/2021_05:34:57,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,51.88,35.13,Prendido
26/10/2021_05:35:03,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.88,35.13,Prendido
26/10/2021_05:35:09,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.88,35.06,Prendido
26/10/2021_05:35:15,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.88,35.13,Prendido
26/10/2021_05:35:21,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.88,35.06,Prendido
26/10/2021_05:35:27,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,51.81,35.13,Prendido
26/10/2021_05:35:32,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.88,35.13,Prendido
26/10/2021_05:35:38,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,51.81,35.06,Prendido
26/10/2021_05:35:44,448,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.00,35.13,Prendido
26/10/2021_05:35:50,449,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.00,35.13,Prendido
26/10/2021_05:35:56,449,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:36:02,449,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.31,52.13,35.13,Apagado
26/10/2021_05:36:08,448,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.06,35.13,Apagado
26/10/2021_05:36:14,448,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,52.06,35.13,Apagado
26/10/2021_05:36:19,448,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.94,35.13,Prendido
26/10/2021_05:36:25,448,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.88,35.13,Prendido
26/10/2021_05:36:31,450,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.44,51.88,35.06,Prendido
26/10/2021_05:36:37,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.88,35.06,Prendido
26/10/2021_05:36:43,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.88,35.13,Prendido
26/10/2021_05:36:49,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,51.94,35.06,Prendido
26/10/2021_05:36:55,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.88,35.06,Prendido
26/10/2021_05:37:00,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.00,35.13,Prendido
26/10/2021_05:37:06,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,51.94,35.06,Prendido
26/10/2021_05:37:12,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.06,35.13,Apagado
26/10/2021_05:37:18,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.13,35.06,Apagado
26/10/2021_05:37:24,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.19,35.13,Apagado
26/10/2021_05:37:30,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.13,35.13,Apagado
26/10/2021_05:37:36,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.38,52.13,35.13,Apagado
26/10/2021_05:37:42,451,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,52.00,35.13,Prendido
26/10/2021_05:37:47,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,51.88,35.06,Prendido
26/10/2021_05:37:53,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.38,51.75,35.06,Prendido
26/10/2021_05:37:59,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.69,35.13,Prendido
26/10/2021_05:38:05,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.75,35.13,Prendido
26/10/2021_05:38:11,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.25,56.31,51.75,35.13,Prendido
26/10/2021_05:38:17,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.25,56.31,51.88,35.13,Prendido
26/10/2021_05:38:23,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.31,51.75,35.13,Prendido
26/10/2021_05:38:28,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.31,51.94,35.13,Prendido
26/10/2021_05:38:34,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.94,35.13,Prendido
26/10/2021_05:38:40,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:38:46,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.31,52.00,35.06,Prendido
26/10/2021_05:38:52,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:38:58,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:39:04,458,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.00,35.13,Prendido
26/10/2021_05:39:10,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.06,35.13,Apagado
26/10/2021_05:39:15,461,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.00,35.13,Prendido
26/10/2021_05:39:21,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.00,35.13,Prendido
26/10/2021_05:39:27,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.88,35.13,Prendido
26/10/2021_05:39:33,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.81,35.13,Prendido
26/10/2021_05:39:39,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.81,35.13,Prendido
26/10/2021_05:39:45,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.00,35.13,Prendido
26/10/2021_05:39:51,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.88,35.06,Prendido
26/10/2021_05:39:56,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:40:02,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.19,35.13,Apagado
26/10/2021_05:40:08,460,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,52.00,35.19,Prendido
26/10/2021_05:40:14,459,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.06,35.13,Apagado
26/10/2021_05:40:20,571,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.31,52.00,35.13,Prendido
26/10/2021_05:40:26,2785,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.94,35.13,Prendido
26/10/2021_05:40:32,1944,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.88,35.13,Prendido
26/10/2021_05:40:38,773,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,51.81,35.06,Prendido
26/10/2021_05:40:43,619,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.81,35.13,Prendido
26/10/2021_05:40:49,567,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.75,35.13,Prendido
26/10/2021_05:40:55,528,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.31,51.94,35.13,Prendido
26/10/2021_05:41:01,415,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.94,35.13,Prendido
26/10/2021_05:41:07,400,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,52.00,35.13,Prendido
26/10/2021_05:41:13,347,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.38,52.00,35.13,Prendido
26/10/2021_05:41:19,305,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,52.06,35.06,Apagado
26/10/2021_05:41:24,265,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,52.13,35.19,Apagado
26/10/2021_05:41:30,243,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.38,52.13,35.19,Apagado
26/10/2021_05:41:36,200,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.44,52.13,35.13,Apagado
26/10/2021_05:41:42,177,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.44,52.00,35.19,Prendido
26/10/2021_05:41:48,160,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,51.88,35.13,Prendido
26/10/2021_05:41:54,153,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.38,56.44,51.81,35.13,Prendido
26/10/2021_05:42:00,138,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.38,56.44,51.81,35.13,Prendido
26/10/2021_05:42:06,125,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,51.81,35.13,Prendido
26/10/2021_05:42:11,111,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.38,51.88,35.13,Prendido
26/10/2021_05:42:17,103,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.44,51.94,35.13,Prendido
26/10/2021_05:42:23,98,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,52.00,35.13,Prendido
26/10/2021_05:42:29,94,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,52.00,35.13,Prendido
26/10/2021_05:42:35,88,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,52.13,35.13,Apagado
26/10/2021_05:42:41,83,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,52.25,35.13,Apagado
26/10/2021_05:42:47,78,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.44,52.19,35.13,Apagado
26/10/2021_05:42:52,72,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.38,51.31,56.44,52.06,35.19,Apagado
26/10/2021_05:42:58,72,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,51.88,35.19,Prendido
26/10/2021_05:43:04,70,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.50,51.75,35.06,Prendido
26/10/2021_05:43:10,68,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.50,51.81,35.13,Prendido
26/10/2021_05:43:16,67,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.50,51.69,35.13,Prendido
26/10/2021_05:43:22,67,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.31,56.44,51.75,35.13,Prendido
26/10/2021_05:43:28,66,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.44,51.69,35.13,Prendido
26/10/2021_05:43:34,66,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.44,51.75,35.13,Prendido
26/10/2021_05:43:39,66,Prendido,Apagado,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.44,51.25,56.44,51.81,35.13,Prendido
