Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
04/11/2021_18:14:58,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.56,51.88,40.50,Prendido
04/11/2021_18:15:04,541,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.81,33.25,36.56,52.00,40.50,Prendido
04/11/2021_18:15:10,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.56,52.19,40.56,Apagado
04/11/2021_18:15:15,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.19,36.56,52.38,40.56,Apagado
04/11/2021_18:15:21,541,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.56,52.38,40.56,Apagado
04/11/2021_18:15:27,541,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.56,52.25,40.56,Apagado
04/11/2021_18:15:33,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.31,36.56,52.13,40.56,Apagado
04/11/2021_18:15:39,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,52.00,40.56,Prendido
04/11/2021_18:15:45,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.56,51.81,40.56,Prendido
04/11/2021_18:15:51,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,51.88,40.56,Prendido
04/11/2021_18:15:56,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,51.81,40.56,Prendido
04/11/2021_18:16:02,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,52.00,40.56,Prendido
04/11/2021_18:16:08,540,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.31,36.63,52.13,40.56,Apagado
04/11/2021_18:16:14,541,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,52.25,40.63,Apagado
04/11/2021_18:16:20,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.31,36.63,52.25,40.63,Apagado
04/11/2021_18:16:26,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,52.19,40.69,Apagado
04/11/2021_18:16:32,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,52.19,40.63,Apagado
04/11/2021_18:16:37,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,51.94,40.63,Prendido
04/11/2021_18:16:43,544,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,51.81,40.63,Prendido
04/11/2021_18:16:49,545,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,51.81,40.63,Prendido
04/11/2021_18:16:55,545,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,51.94,40.63,Prendido
04/11/2021_18:17:01,544,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.63,51.94,40.63,Prendido
04/11/2021_18:17:07,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,52.13,40.63,Apagado
04/11/2021_18:17:13,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.69,52.38,40.69,Apagado
04/11/2021_18:17:19,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,52.31,40.69,Apagado
04/11/2021_18:17:24,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,52.25,40.75,Apagado
04/11/2021_18:17:30,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,52.13,40.69,Apagado
04/11/2021_18:17:36,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,52.06,40.75,Apagado
04/11/2021_18:17:42,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,51.88,40.75,Prendido
04/11/2021_18:17:48,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.88,33.25,36.69,51.63,40.75,Prendido
04/11/2021_18:17:54,542,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.25,36.63,51.69,40.69,Prendido
04/11/2021_18:18:00,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.69,51.69,40.69,Prendido
04/11/2021_18:18:05,543,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,51.81,40.69,Prendido
04/11/2021_18:18:11,544,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.63,52.00,40.69,Prendido
04/11/2021_18:18:17,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,37.94,33.31,36.69,52.19,40.69,Apagado
04/11/2021_18:18:23,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.00,33.31,36.63,52.25,40.81,Apagado
04/11/2021_18:18:29,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.00,33.31,36.69,52.31,40.75,Apagado
04/11/2021_18:18:35,546,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.00,33.31,36.69,52.25,40.75,Apagado
04/11/2021_18:18:41,545,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,38.00,33.31,36.69,52.19,40.75,Apagado
