Date_Time,CO2,Estado_Valvula_CO2,Estado_Valvula_Compost,Temp_Compost,Temp_Suncho,Estado_Suncho
25/10/2021_09:17:44,507,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:17:50,508,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:17:56,508,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:18:01,509,Apagado,Prendido,54.38,51.75,Prendido
25/10/2021_09:18:07,508,Apagado,Prendido,54.38,51.75,Prendido
25/10/2021_09:18:13,508,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:18:18,508,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:18:24,510,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:18:29,510,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:18:35,509,Apagado,Prendido,54.31,52.19,Apagado
25/10/2021_09:18:41,507,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:18:46,506,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:18:52,507,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:18:58,507,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:19:03,507,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:19:09,506,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:19:14,506,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:19:20,506,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:19:26,505,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:19:31,505,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:19:37,503,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:19:42,501,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:19:48,501,Apagado,Prendido,54.38,52.19,Apagado
25/10/2021_09:19:54,499,Apagado,Prendido,54.31,52.19,Apagado
25/10/2021_09:19:59,498,Apagado,Prendido,54.38,52.25,Apagado
25/10/2021_09:20:05,498,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:20:11,497,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:20:16,497,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:20:22,495,Apagado,Prendido,54.44,52.00,Prendido
25/10/2021_09:20:27,495,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:20:33,495,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:20:39,495,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:20:44,495,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:20:50,495,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:20:56,495,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:21:01,496,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:21:07,498,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:21:12,498,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:21:18,497,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:21:24,497,Apagado,Prendido,54.38,52.19,Apagado
25/10/2021_09:21:29,497,Apagado,Prendido,54.31,52.00,Prendido
25/10/2021_09:21:35,497,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:21:41,495,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:21:46,494,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:21:52,493,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:21:57,492,Apagado,Prendido,54.38,52.19,Apagado
25/10/2021_09:22:03,490,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:22:09,489,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:22:14,487,Apagado,Prendido,54.38,51.81,Prendido
25/10/2021_09:22:20,489,Apagado,Prendido,54.38,51.81,Prendido
25/10/2021_09:22:25,490,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:22:31,487,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:22:37,487,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:22:42,485,Apagado,Prendido,54.31,52.19,Apagado
25/10/2021_09:22:48,484,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:22:54,484,Apagado,Prendido,54.31,52.00,Prendido
25/10/2021_09:22:59,484,Apagado,Prendido,54.44,51.81,Prendido
25/10/2021_09:23:05,484,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:23:10,484,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:23:16,486,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:23:22,487,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:23:27,487,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:23:33,486,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:23:39,485,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:23:44,485,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:23:50,484,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:23:55,484,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:24:01,482,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:24:07,482,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:24:12,482,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:24:18,482,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:24:24,484,Apagado,Prendido,54.31,52.00,Prendido
25/10/2021_09:24:29,485,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:24:35,486,Apagado,Prendido,54.31,52.00,Prendido
25/10/2021_09:24:40,487,Apagado,Prendido,54.31,52.00,Prendido
25/10/2021_09:24:46,484,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:24:52,483,Apagado,Prendido,54.31,52.19,Apagado
25/10/2021_09:24:57,482,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:25:03,481,Apagado,Prendido,54.38,52.00,Prendido
25/10/2021_09:25:08,480,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:25:14,478,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:25:20,477,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:25:25,477,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:25:31,476,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:25:37,477,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:25:42,476,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:25:48,477,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:25:53,477,Apagado,Prendido,54.31,51.88,Prendido
25/10/2021_09:25:59,477,Apagado,Prendido,54.38,52.06,Apagado
25/10/2021_09:26:05,477,Apagado,Prendido,54.38,52.13,Apagado
25/10/2021_09:26:10,477,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:26:16,478,Apagado,Prendido,54.31,51.94,Prendido
25/10/2021_09:26:22,479,Apagado,Prendido,54.38,51.88,Prendido
25/10/2021_09:26:27,479,Apagado,Prendido,54.38,51.81,Prendido
25/10/2021_09:26:33,479,Apagado,Prendido,54.31,51.88,Prendido
25/10/2021_09:26:38,479,Apagado,Prendido,54.31,52.13,Apagado
25/10/2021_09:26:44,479,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:26:50,479,Apagado,Prendido,54.31,52.06,Apagado
25/10/2021_09:26:55,480,Apagado,Prendido,54.38,51.94,Prendido
25/10/2021_09:27:01,483,Apagado,Prendido,54.38,51.94,Prendido
