Date_Time,Temp_Compost,Temp_Suncho,Estado
08/07/2021_01:05:43,45.38,49.81,Prendido
08/07/2021_01:05:45,45.38,49.81,Prendido
08/07/2021_01:05:47,45.38,49.81,Prendido
08/07/2021_01:05:48,45.38,49.81,Prendido
08/07/2021_01:05:50,45.38,49.81,Prendido
08/07/2021_01:05:51,45.38,49.81,Prendido
08/07/2021_01:05:53,45.38,49.75,Prendido
08/07/2021_01:05:55,45.38,49.75,Prendido
08/07/2021_01:05:56,45.38,49.75,Prendido
08/07/2021_01:05:58,45.38,49.69,Prendido
08/07/2021_01:05:59,45.38,49.69,Prendido
08/07/2021_01:06:01,45.38,49.63,Prendido
08/07/2021_01:06:03,45.38,49.63,Prendido
08/07/2021_01:06:04,45.38,49.63,Prendido
08/07/2021_01:06:06,45.38,49.63,Prendido
08/07/2021_01:06:07,45.38,49.63,Prendido
08/07/2021_01:06:09,45.38,49.69,Prendido
08/07/2021_01:06:11,45.38,49.75,Prendido
08/07/2021_01:06:12,45.38,49.75,Prendido
08/07/2021_01:06:14,45.38,49.75,Prendido
08/07/2021_01:06:16,45.38,49.81,Prendido
08/07/2021_01:06:17,45.38,49.75,Prendido
08/07/2021_01:06:19,45.38,49.75,Prendido
08/07/2021_01:06:20,45.38,49.75,Prendido
08/07/2021_01:06:22,45.38,49.75,Prendido
08/07/2021_01:06:24,45.38,49.75,Prendido
08/07/2021_01:06:25,45.38,49.75,Prendido
08/07/2021_01:06:27,45.44,49.81,Prendido
08/07/2021_01:06:28,45.38,49.81,Prendido
08/07/2021_01:06:30,45.38,49.81,Prendido
08/07/2021_01:06:32,45.38,49.81,Prendido
08/07/2021_01:06:33,45.38,49.81,Prendido
08/07/2021_01:06:35,45.38,49.81,Prendido
08/07/2021_01:06:36,45.38,49.81,Prendido
08/07/2021_01:06:38,45.38,49.81,Prendido
08/07/2021_01:06:40,45.38,49.81,Prendido
08/07/2021_01:06:41,45.38,49.81,Prendido
08/07/2021_01:06:43,45.38,49.81,Prendido
08/07/2021_01:06:44,45.38,49.88,Prendido
08/07/2021_01:06:46,45.38,49.81,Prendido
08/07/2021_01:06:48,45.38,49.88,Prendido
08/07/2021_01:06:49,45.38,49.88,Prendido
08/07/2021_01:06:51,45.31,49.88,Prendido
08/07/2021_01:06:52,45.38,49.81,Prendido
08/07/2021_01:06:54,45.38,49.75,Prendido
08/07/2021_01:06:56,45.38,49.75,Prendido
08/07/2021_01:06:57,45.38,49.75,Prendido
08/07/2021_01:06:59,45.38,49.75,Prendido
08/07/2021_01:07:01,45.38,49.75,Prendido
08/07/2021_01:07:02,45.38,49.75,Prendido
08/07/2021_01:07:04,45.38,49.75,Prendido
08/07/2021_01:07:05,45.38,49.75,Prendido
08/07/2021_01:07:07,45.38,49.75,Prendido
08/07/2021_01:07:09,45.38,49.75,Prendido
08/07/2021_01:07:10,45.38,49.81,Prendido
08/07/2021_01:07:12,45.38,49.88,Prendido
08/07/2021_01:07:13,45.38,49.88,Prendido
08/07/2021_01:07:15,45.38,49.81,Prendido
08/07/2021_01:07:17,45.38,49.81,Prendido
08/07/2021_01:07:18,45.38,49.81,Prendido
08/07/2021_01:07:20,45.38,49.81,Prendido
08/07/2021_01:07:21,45.38,49.88,Prendido
08/07/2021_01:07:23,45.38,49.88,Prendido
08/07/2021_01:07:25,45.38,49.88,Prendido
08/07/2021_01:07:26,45.38,49.88,Prendido
08/07/2021_01:07:28,45.38,49.88,Prendido
08/07/2021_01:07:29,45.38,49.88,Prendido
08/07/2021_01:07:31,45.38,49.88,Prendido
08/07/2021_01:07:33,45.38,49.94,Prendido
08/07/2021_01:07:34,45.38,49.88,Prendido
08/07/2021_01:07:36,45.38,49.81,Prendido
08/07/2021_01:07:37,45.38,49.81,Prendido
08/07/2021_01:07:39,45.38,49.81,Prendido
08/07/2021_01:07:41,45.38,49.81,Prendido
08/07/2021_01:07:42,45.38,49.81,Prendido
08/07/2021_01:07:44,45.38,49.81,Prendido
08/07/2021_01:07:46,45.38,49.81,Prendido
08/07/2021_01:07:47,45.38,49.88,Prendido
08/07/2021_01:07:49,45.38,49.88,Prendido
08/07/2021_01:07:50,45.38,49.81,Prendido
08/07/2021_01:07:52,45.38,49.81,Prendido
08/07/2021_01:07:54,45.38,49.88,Prendido
08/07/2021_01:07:55,45.38,49.81,Prendido
08/07/2021_01:07:57,45.38,49.81,Prendido
08/07/2021_01:07:58,45.38,49.88,Prendido
08/07/2021_01:08:00,45.31,49.81,Prendido
08/07/2021_01:08:02,45.38,49.81,Prendido
08/07/2021_01:08:03,45.38,49.81,Prendido
08/07/2021_01:08:05,45.38,49.81,Prendido
08/07/2021_01:08:06,45.38,49.75,Prendido
08/07/2021_01:08:08,45.38,49.81,Prendido
08/07/2021_01:08:10,45.38,49.81,Prendido
08/07/2021_01:08:11,45.38,49.81,Prendido
08/07/2021_01:08:13,45.38,49.81,Prendido
08/07/2021_01:08:14,45.38,49.81,Prendido
08/07/2021_01:08:16,45.38,49.81,Prendido
08/07/2021_01:08:18,45.31,49.81,Prendido
08/07/2021_01:08:19,45.38,49.81,Prendido
08/07/2021_01:08:21,45.38,49.81,Prendido
08/07/2021_01:08:23,45.38,49.81,Prendido
