[TA Ascii File]
DTG-60

File Name :	C:\TAData\Caro Iacovone\TPS-NPTiO2.txt

[File Information]
File Name:	TPS-NPTiO2.tad
Sample Name:	TPS-NPTiO2
Lot No:	001
Acquire Date:	22/03/22
Acquire Time:	15:33:16(-0300)
Detector Type:	DTG-60
Detector Serial No:	C30564800519TK
Operator:	Carolina Iacovone
Atmosphere:	Nitrogen
Gas Flow:	30[ml/min]
Annotation:	
Pan Name:	Aluminum
Sample Weight:	7.620[mg]
Molecular Weight:	0.00


[Measurements Program]
[Temperature Program]
Start Temp.	
Temp. Rate	Hold Temp.	Hold Time	Gas
[ C/min  ]	[   C  ]	[ min  ]
3.00	30.0	10		
10.00	450.0	0		


[Data]
Time	Temp	DTA	TGA
sec	C	uV	mg
0.000000	28.787214	-2.219669	7.620259
1.000000	28.761930	-2.222986	7.619762
2.000000	28.752674	-2.221110	7.619166
3.000000	28.771387	-2.217545	7.618968
4.000000	28.787115	-2.219276	7.619464
5.000000	28.762329	-2.219383	7.620358
6.000000	28.806427	-2.214151	7.621152
7.000000	28.833603	-2.215307	7.621947
8.000000	28.831415	-2.218355	7.622841
9.000000	28.849829	-2.219928	7.623735
10.000000	28.899405	-2.225078	7.624132
11.000000	28.926081	-2.240595	7.624232
12.000000	28.931259	-2.257513	7.624132
13.000000	28.972172	-2.278301	7.624232
14.000000	29.019157	-2.305883	7.624431
15.000000	29.009800	-2.343758	7.624530
16.000000	29.057781	-2.377521	7.624431
17.000000	29.093319	-2.413563	7.624331
18.000000	29.105762	-2.457658	7.623835
19.000000	29.114025	-2.496034	7.623041
20.000000	29.151852	-2.534629	7.622048
21.000000	29.191074	-2.574268	7.620657
22.000000	29.175943	-2.611280	7.618870
23.000000	29.207996	-2.642673	7.617182
24.000000	29.250999	-2.673929	7.615693
25.000000	29.236168	-2.709298	7.614699
26.000000	29.267225	-2.734133	7.614005
27.000000	29.292013	-2.757258	7.613409
28.000000	29.315107	-2.783122	7.613111
29.000000	29.304955	-2.803163	7.612912
30.000000	29.334023	-2.819622	7.612813
31.000000	29.375433	-2.835539	7.612714
32.000000	29.363289	-2.852973	7.612317
33.000000	29.380013	-2.863854	7.611820
34.000000	29.410872	-2.872003	7.611225
35.000000	29.412762	-2.883062	7.610629
36.000000	29.422119	-2.887415	7.609834
37.000000	29.441034	-2.890660	7.609040
38.000000	29.469107	-2.895094	7.608940
39.000000	29.449594	-2.899405	7.609735
40.000000	29.467213	-2.901070	7.610827
41.000000	29.507631	-2.900362	7.612317
42.000000	29.503847	-2.903357	7.614104
43.000000	29.505142	-2.899745	7.615891
44.000000	29.533213	-2.895555	7.617183
45.000000	29.555214	-2.891126	7.617481
46.000000	29.541874	-2.891155	7.617084
47.000000	29.558598	-2.884931	7.616190
48.000000	29.590948	-2.878852	7.614899
49.000000	29.576017	-2.874632	7.613310
50.000000	29.579901	-2.867020	7.611423
51.000000	29.610161	-2.858747	7.609636
52.000000	29.624994	-2.855335	7.608345
53.000000	29.607672	-2.850312	7.607650
54.000000	29.635647	-2.843002	7.607551
55.000000	29.666405	-2.831921	7.607650
56.000000	29.652769	-2.831758	7.608245
