[TA Ascii File]
DTG-60

File Name :	C:\TAData\Caro Iacovone\TPS.txt

[File Information]
File Name:	TPS.tad
Sample Name:	TPS
Lot No:	001
Acquire Date:	22/03/22
Acquire Time:	13:07:00(-0300)
Detector Type:	DTG-60
Detector Serial No:	C30564800519TK
Operator:	Carolina Iacovone
Atmosphere:	Nitrogen
Gas Flow:	30[ml/min]
Annotation:	
Pan Name:	Aluminum
Sample Weight:	7.971[mg]
Molecular Weight:	0.00


[Measurements Program]
[Temperature Program]
Start Temp.	
Temp. Rate	Hold Temp.	Hold Time	Gas
[ C/min  ]	[   C  ]	[ min  ]
3.00	30.0	10		
10.00	450.0	0		


[Data]
Time	Temp	DTA	TGA
sec	C	uV	mg
0.000000	26.932177	-2.218030	7.969227
1.000000	26.917643	-2.214347	7.970716
2.000000	26.928392	-2.210997	7.971909
3.000000	26.948004	-2.209674	7.972902
4.000000	26.920031	-2.209781	7.973597
5.000000	26.946312	-2.207515	7.973795
6.000000	26.984039	-2.204903	7.973199
7.000000	26.982347	-2.208639	7.972107
8.000000	27.000465	-2.210342	7.970916
9.000000	27.048147	-2.215034	7.969625
10.000000	27.081993	-2.230284	7.968631
11.000000	27.087767	-2.246780	7.967937
12.000000	27.135847	-2.267030	7.967739
13.000000	27.182335	-2.297067	7.968136
14.000000	27.179848	-2.336733	7.969029
15.000000	27.212198	-2.378412	7.970122
16.000000	27.263466	-2.424056	7.971015
17.000000	27.291237	-2.478593	7.971810
18.000000	27.300297	-2.531392	7.972208
19.000000	27.351463	-2.584290	7.971910
20.000000	27.395761	-2.640761	7.971016
21.000000	27.397753	-2.698184	7.969626
22.000000	27.436974	-2.751405	7.967938
23.000000	27.500982	-2.803097	7.965952
24.000000	27.509939	-2.857770	7.964363
25.000000	27.533134	-2.907430	7.963470
26.000000	27.583805	-2.955374	7.963370
27.000000	27.624916	-3.006689	7.963668
28.000000	27.626112	-3.054837	7.963768
29.000000	27.674290	-3.099768	7.963966
30.000000	27.721874	-3.145191	7.963867
31.000000	27.737703	-3.191048	7.963371
32.000000	27.771049	-3.232353	7.962576
33.000000	27.831175	-3.271550	7.961882
34.000000	27.856758	-3.315562	7.961683
35.000000	27.876867	-3.352580	7.961882
36.000000	27.923754	-3.389283	7.962279
37.000000	27.983183	-3.422207	7.962776
38.000000	27.982685	-3.459582	7.963272
39.000000	28.027182	-3.492115	7.963769
40.000000	28.078548	-3.525276	7.964465
41.000000	28.100447	-3.562264	7.965159
42.000000	28.130909	-3.593473	7.965557
43.000000	28.182373	-3.624403	7.965954
44.000000	28.231152	-3.657361	7.966451
45.000000	28.234734	-3.687266	7.966947
46.000000	28.282417	-3.716255	7.967146
47.000000	28.356182	-3.743107	7.967047
48.000000	28.354288	-3.771912	7.967146
49.000000	28.394506	-3.796751	7.967146
50.000000	28.442188	-3.818373	7.967048
51.000000	28.466179	-3.848236	7.966452
52.000000	28.477827	-3.869498	7.965756
53.000000	28.529690	-3.891790	7.964962
54.000000	28.575680	-3.912552	7.964168
55.000000	28.572992	-3.934094	7.963573
56.000000	28.602259	-3.950828	7.963374
57.000000	28.674032	-3.962811	7.963573
