Date,Volume,#1,#2,#3,#4
2021-11-20,V1,9.8,9.8,9.6,9.8
2021-11-20,V2,10.05,10.2,10.2,10
2021-11-22,V1,9.1,9.8,8.4,9.4
2021-11-22,V2,10.1,10.2,10.5,10.2
2021-11-23,V1,8.6,8.9,8.2,8.7
2021-11-23,V2,10.4,9.6,10.7,9.8
2021-11-24,V1,7.3,8.5,8,8
2021-11-24,V2,10.3,9.5,10.55,9.5
2021-11-25,V1,7.2,8.3,7.7,7.7
2021-11-25,V2,10.2,9.3,10.8,9.5
2021-11-26,V1,6.4,7.9,6.5,7
2021-11-26,V2,10.2,9.3,10.5,9.2
2021-11-27,V1,6.3,7.8,6.5,6.9
2021-11-27,V2,10.1,9.1,10.7,9.2
2021-11-29,V1,5.55,7.2,5.7,6.75
2021-11-29,V2,10.2,8.7,10.9,9.3
2021-11-30,V1,5.6,7.1,5.7,6.65
2021-11-30,V2,10.3,8.6,10.7,9.2
2021-12-01,V1,5.2,6,5.3,6.1
2021-12-01,V2,10.3,8.4,10.8,9.2
2021-12-02,V1,5.2,5.6,5.3,5.75
2021-12-02,V2,10,8.1,10.5,8.6
2021-12-03,V1,5.1,5.4,5.1,5.1
2021-12-03,V2,9.8,8,9.9,8.2
2021-12-04,V1,9.8,8.6,9.7,9.3
2021-12-04,V2,10.2,9.7,9.9,9.5
2021-12-06,V1,9.8,8.9,9.2,8.7
2021-12-06,V2,10.2,9.5,10.2,9.7
