Date_Time,CO2,Estado_Valvula_CO2_1,Estado_Valvula_Compost_1,Estado_Valvula_CO2_2,Estado_Valvula_Compost_2,Estado_Valvula_CO2_3,Estado_Valvula_Compost_3,Estado_Valvula_CO2_4,Estado_Valvula_Compost_4,Temp_Compost_1,Temp_Compost_2,Temp_Compost_3,Temp_Compost_4,Temp_Suncho,Estado_Suncho
25/10/2021_22:43:17,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,52.00,35.88,Prendido
25/10/2021_22:43:23,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.81,51.94,35.88,Prendido
25/10/2021_22:43:29,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.19,57.75,51.88,35.81,Prendido
25/10/2021_22:43:35,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.13,57.75,51.75,35.81,Prendido
25/10/2021_22:43:40,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.13,57.75,51.81,35.81,Prendido
25/10/2021_22:43:46,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,51.88,35.81,Prendido
25/10/2021_22:43:52,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.69,51.81,35.81,Prendido
25/10/2021_22:43:58,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.69,51.88,35.81,Prendido
25/10/2021_22:44:04,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.69,51.88,35.88,Prendido
25/10/2021_22:44:10,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.06,57.75,51.88,35.81,Prendido
25/10/2021_22:44:16,454,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.69,52.06,35.88,Apagado
25/10/2021_22:44:22,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.06,57.69,52.06,35.81,Apagado
25/10/2021_22:44:27,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.13,57.69,52.13,35.88,Apagado
25/10/2021_22:44:33,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,52.00,35.81,Prendido
25/10/2021_22:44:39,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,52.00,35.81,Prendido
25/10/2021_22:44:45,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,51.94,35.81,Prendido
25/10/2021_22:44:51,455,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.75,51.88,35.81,Prendido
25/10/2021_22:44:57,457,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.13,57.75,51.94,35.81,Prendido
25/10/2021_22:45:03,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.75,51.94,35.81,Prendido
25/10/2021_22:45:08,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.06,57.75,51.88,35.81,Prendido
25/10/2021_22:45:14,456,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.75,51.94,35.81,Prendido
25/10/2021_22:45:20,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.06,57.75,52.06,35.81,Apagado
25/10/2021_22:45:26,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.69,52.13,35.81,Apagado
25/10/2021_22:45:32,453,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,52.13,35.88,Apagado
25/10/2021_22:45:38,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.56,55.13,57.75,52.06,35.88,Apagado
25/10/2021_22:45:44,452,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,Apagado,Prendido,39.63,55.13,57.69,52.00,35.88,Prendido
